Date,Time,Object ID,Logical ID,Category,Event,Behavior,Confidence,Centroid X,Centroid Y,Snapshot
2026-09-11,01:55:21,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1430,351,283,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0354.jpg
2026-09-11,01:55:23,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9151,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0355.jpg
2026-09-11,01:55:23,67,4,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,165,233,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0034.jpg
2026-09-11,01:55:24,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9135,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0356.jpg
2026-09-11,01:55:24,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9156,307,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0357.jpg
2026-09-11,01:55:25,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9281,307,224,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0358.jpg
2026-09-11,01:55:25,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9261,307,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0359.jpg
2026-09-11,01:55:26,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9293,307,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0360.jpg
2026-09-11,01:55:27,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9330,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0361.jpg
2026-09-11,01:55:27,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9352,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0362.jpg
2026-09-11,01:55:28,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9335,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0363.jpg
2026-09-11,01:55:29,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9332,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0364.jpg
2026-09-11,01:55:29,99,6,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT,1.0000,199,339,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0035.jpg
2026-09-11,01:55:29,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9376,307,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0365.jpg
2026-09-11,01:55:30,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9434,307,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0366.jpg
2026-09-11,01:55:31,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9291,308,225,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0367.jpg
2026-09-11,01:55:31,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9413,307,224,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0368.jpg
2026-09-11,01:55:32,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9537,307,224,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0369.jpg
2026-09-11,01:55:32,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9549,307,224,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0370.jpg
2026-09-11,01:55:33,4,1,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,204,233,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0036.jpg
2026-09-11,01:55:33,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9533,306,226,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0371.jpg
2026-09-11,01:55:34,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.8940,306,224,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0372.jpg
2026-09-11,01:55:34,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.8015,306,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0373.jpg
2026-09-11,01:55:35,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9141,306,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0374.jpg
2026-09-11,01:55:36,67,4,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,164,234,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0037.jpg
